iter	Passed	Remaining
1235	51191	31642
1236	51226	31597
1237	51262	31552
1238	51296	31506
1239	51330	31460
1240	51364	31414
1241	51399	31369
1242	51436	31325
1243	51469	31278
1244	51503	31233
1245	51538	31187
1246	51570	31140
1247	51606	31096
1248	51638	31049
1249	51673	31004
1250	51708	30959
1251	51744	30914
1252	51779	30869
1253	51812	30823
1254	51848	30778
1255	51883	30733
1256	51919	30689
1257	51954	30644
1258	51991	30600
1259	52026	30555
1260	52060	30509
1261	52094	30463
1262	52128	30418
1263	52164	30374
1264	52194	30326
1265	52230	30281
1266	52265	30237
1267	52300	30192
1268	52334	30146
1269	52368	30101
1270	52400	30054
1271	52435	30010
1272	52470	29965
1273	52507	29921
1274	52542	29876
1275	52577	29832
1276	52612	29787
1277	52644	29741
1278	52679	29696
1279	52714	29651
1280	52750	29607
1281	52790	29565
1282	52822	29519
1283	52856	29474
1284	52893	29430
1285	52929	29386
1286	52963	29342
1287	52998	29297
1288	53032	29252
1289	53065	29206
1290	53099	29161
1291	53135	29117
1292	53168	29072
1293	53201	29026
1294	53236	28981
1295	53269	28936
1296	53302	28891
1297	53338	28846
1298	53370	28801
1299	53403	28755
1300	53437	28710
1301	53471	28666
1302	53499	28617
1303	53535	28574
1304	53570	28529
1305	53605	28485
1306	53637	28440
1307	53671	28395
1308	53700	28347
1309	53736	28303
1310	53772	28260
1311	53807	28216
1312	53843	28172
1313	53875	28126
1314	53912	28083
1315	53947	28039
1316	53996	28002
1317	54035	27960
1318	54072	27917
1319	54096	27867
1320	54153	27835
1321	54191	27792
1322	54223	27747
1323	54245	27696
1324	54267	27645
1325	54331	27616
1326	54351	27564
1327	54377	27516
1328	54421	27476
1329	54455	27432
1330	54486	27386
1331	54512	27337
1332	54545	27293
1333	54603	27260
1334	54633	27214
1335	54671	27172
1336	54704	27127
1337	54738	27082
1338	54767	27036
1339	54818	27000
1340	54844	26951
1341	54914	26925
1342	54960	26886
1343	54997	26844
1344	55036	26802
1345	55090	26767
1346	55152	26736
1347	55196	26697
1348	55231	26653
1349	55275	26613
1350	55312	26571
1351	55345	26526
1352	55386	26485
1353	55426	26444
1354	55466	26403
1355	55501	26359
1356	55536	26315
1357	55580	26275
1358	55611	26230
1359	55653	26190
1360	55699	26151
1361	55737	26108
1362	55765	26061
1363	55801	26019
1364	55831	25972
1365	55867	25929
1366	55906	25887
1367	55940	25843
1368	55978	25801
1369	56018	25760
1370	56070	25724
1371	56115	25685
1372	56180	25655
1373	56269	25636
1374	56344	25611
1375	56425	25588
1376	56515	25569
1377	56582	25539
1378	56650	25511
1379	56702	25475
1380	56755	25439
1381	56815	25406
1382	56906	25387
1383	56978	25360
1384	57065	25339
1385	57134	25310
1386	57198	25279
1387	57279	25255
1388	57329	25218
1389	57421	25199
1390	57498	25173
1391	57558	25140
1392	57594	25096
1393	57658	25065
1394	57753	25047
1395	57841	25025
1396	57936	25007
1397	57992	24972
1398	58075	24948
1399	58128	24912
1400	58186	24877
1401	58321	24876
1402	58399	24849
1403	58471	24821
1404	58559	24799
1405	58627	24768
1406	58690	24736
1407	58806	24725
1408	58907	24708
1409	58970	24675
1410	59024	24638
1411	59110	24615
1412	59164	24578
1413	59198	24533
1414	59216	24481
1415	59255	24438
1416	59313	24403
1417	59399	24379
1418	59469	24349
1419	59549	24323
1420	59593	24282
1421	59648	24245
1422	59701	24207
1423	59754	24170
1424	59833	24143
1425	59913	24116
1426	59954	24074
1427	60013	24039
1428	60090	24011
1429	60127	23966
1430	60181	23929
1431	60221	23886
1432	60263	23844
1433	60298	23799
1434	60336	23756
1435	60374	23712
1436	60412	23669
1437	60452	23625
1438	60490	23582
1439	60526	23538
1440	60566	23495
1441	60611	23454
1442	60645	23409
1443	60681	23364
1444	60721	23322
1445	60754	23276
1446	60794	23233
1447	60832	23190
1448	60865	23144
1449	60906	23102
1450	60945	23059
1451	60992	23019
1452	61025	22973
1453	61066	22931
1454	61103	22887
1455	61144	22845
1456	61186	22803
1457	61230	22761
1458	61262	22716
1459	61302	22673
1460	61334	22627
1461	61368	22582
1462	61407	22539
1463	61444	22496
1464	61483	22453
1465	61524	22410
1466	61567	22369
1467	61606	22326
1468	61642	22281
1469	61689	22241
1470	61735	22201
1471	61774	22158
1472	61818	22116
1473	61857	22073
1474	61905	22034
1475	61947	21992
1476	61985	21948
1477	62038	21910
1478	62081	21869
1479	62137	21832
1480	62172	21787
1481	62214	21745
1482	62259	21704
1483	62302	21663
1484	62335	21617
1485	62379	21576
1486	62413	21532
1487	62449	21488
1488	62487	21444
1489	62543	21407
1490	62581	21364
1491	62625	21322
1492	62667	21280
1493	62709	21238
1494	62755	21198
1495	62801	21157
1496	62844	21116
1497	62886	21074
1498	62927	21031
1499	62966	20988
1500	63005	20945
1501	63040	20901
1502	63069	20855
1503	63091	20806
1504	63121	20760
1505	63150	20714
1506	63176	20667
1507	63212	20623
1508	63247	20579
1509	63283	20535
1510	63314	20490
1511	63349	20446
1512	63379	20400
1513	63409	20354
1514	63440	20309
1515	63475	20265
1516	63511	20221
1517	63544	20176
1518	63580	20133
1519	63607	20086
1520	63643	20042
1521	63680	19999
1522	63718	19956
1523	63753	19912
1524	63789	19868
1525	63825	19825
1526	63860	19781
1527	63895	19737
1528	63930	19693
1529	63966	19649
1530	64002	19606
1531	64038	19562
1532	64072	19518
1533	64109	19475
1534	64140	19430
1535	64176	19386
1536	64211	19342
1537	64245	19298
1538	64277	19253
1539	64312	19210
1540	64349	19166
1541	64384	19123
1542	64417	19078
1543	64452	19035
1544	64486	18991
1545	64517	18946
1546	64553	18902
1547	64586	18858
1548	64614	18812
1549	64644	18767
1550	64677	18723
1551	64709	18679
1552	64739	18633
1553	64773	18590
1554	64808	18546
1555	64841	18502
1556	64879	18459
1557	64913	18415
1558	64946	18371
1559	64980	18327
1560	65011	18283
1561	65042	18238
1562	65078	18195
1563	65113	18151
1564	65147	18108
1565	65182	18064
1566	65216	18020
1567	65247	17976
1568	65280	17932
1569	65315	17888
1570	65350	17845
1571	65385	17802
1572	65420	17758
1573	65457	17715
1574	65492	17672
1575	65522	17627
1576	65557	17584
1577	65593	17541
1578	65628	17498
1579	65663	17454
1580	65699	17411
1581	65733	17368
1582	65769	17325
1583	65800	17280
1584	65833	17237
1585	65867	17193
1586	65903	17150
1587	65937	17107
1588	65973	17064
1589	66010	17021
1590	66045	16978
1591	66081	16935
1592	66116	16892
1593	66153	16849
1594	66188	16806
1595	66220	16762
1596	66257	16719
1597	66292	16676
1598	66328	16633
1599	66363	16590
1600	66400	16548
1601	66435	16505
1602	66471	16462
1603	66507	16419
1604	66543	16376
1605	66579	16333
1606	66612	16290
1607	66642	16246
1608	66678	16203
1609	66712	16160
1610	66747	16117
1611	66784	16074
1612	66818	16031
1613	66850	15987
1614	66880	15943
1615	66915	15900
1616	66948	15857
1617	66985	15814
1618	67021	15772
1619	67053	15728
1620	67089	15685
1621	67125	15643
1622	67157	15599
1623	67190	15556
1624	67221	15512
1625	67256	15469
1626	67292	15427
1627	67327	15384
1628	67361	15341
1629	67396	15298
1630	67432	15256
1631	67466	15213
1632	67502	15170
1633	67534	15127
1634	67567	15083
1635	67605	15041
1636	67639	14998
1637	67672	14955
1638	67705	14912
1639	67742	14870
1640	67778	14827
1641	67813	14785
1642	67847	14742
1643	67883	14699
1644	67919	14657
1645	67954	14614
1646	67988	14572
1647	68022	14529
1648	68059	14486
1649	68093	14444
1650	68129	14401
1651	68163	14358
1652	68199	14316
1653	68232	14273
1654	68265	14230
1655	68299	14187
1656	68333	14145
1657	68369	14102
1658	68404	14060
1659	68438	14017
1660	68474	13975
1661	68508	13932
1662	68543	13890
